epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12024,3.73458,8.82283,0.7441,12.8352,2.36518,0,0,0,0,0,0,0,0,1.91818,7.94758,0.67879,6.00462,1.82259,4e-05,4e-05,4e-05
2,12.3368,2.06036,8.8197,0.70449,8.22835,2.10163,0,0,0,0,0,0,0,0,1.88246,7.95782,0.67848,5.82751,1.83992,9.802e-05,9.802e-05,9.802e-05
3,18.5015,2.41173,7.99668,0.72383,6.33694,1.8008,0,0,0,0,0,0,0,0,1.55741,7.96411,0.67896,5.28897,1.6345,0.000153664,0.000153664,0.000153664
4,24.3478,2.09889,7.90124,0.69912,4.44458,1.82301,0.01217,0.83333,0.01829,0.01281,0,0,0,0,0.98174,7.93845,0.68142,3.99576,1.33085,0.000206932,0.000206932,0.000206932
5,30.5282,1.60438,7.93813,0.75454,3.01421,1.34196,0.01217,0.83333,0.01829,0.01281,0,0,0,0,0.98174,7.93845,0.68142,3.99576,1.33085,0.000257824,0.000257824,0.000257824
6,37.0542,1.78803,8.13352,0.69627,4.16547,1.38451,0.12349,0.16667,0.20183,0.15487,0,0,0,0,0.7369,7.80314,0.69618,2.50609,1.06385,0.00030634,0.00030634,0.00030634
7,43.5416,1.65482,7.34727,0.74855,2.51735,1.41357,0.12349,0.16667,0.20183,0.15487,0,0,0,0,0.7369,7.80314,0.69618,2.50609,1.06385,0.00035248,0.00035248,0.00035248
8,50.0267,0.90362,7.80669,0.778,2.24135,0.96919,0.12349,0.16667,0.20183,0.15487,0,0,0,0,0.7369,7.80314,0.69618,2.50609,1.06385,0.000396244,0.000396244,0.000396244
9,56.4806,0.92827,7.14983,0.77689,2.41442,1.00841,0.95707,0.66667,0.77219,0.5859,0,0,0,0,0.76225,7.59789,0.70637,2.0001,0.93882,0.000437632,0.000437632,0.000437632
10,62.8148,0.81459,7.49943,0.82369,1.88871,0.97156,0.95707,0.66667,0.77219,0.5859,0,0,0,0,0.76225,7.59789,0.70637,2.0001,0.93882,0.000476644,0.000476644,0.000476644
11,69.0143,1.20447,8.37328,0.7738,2.46968,1.14872,0.95707,0.66667,0.77219,0.5859,0,0,0,0,0.76225,7.59789,0.70637,2.0001,0.93882,0.00051328,0.00051328,0.00051328
12,75.6487,0.71722,7.44312,0.78767,2.03937,0.91815,0.95707,0.66667,0.77219,0.5859,0,0,0,0,0.76225,7.59789,0.70637,2.0001,0.93882,0.00054754,0.00054754,0.00054754
13,81.9322,0.99197,7.24712,0.79447,1.46975,0.95572,0.97705,1,0.995,0.85707,0,0,0,0,0.66876,7.25594,0.70553,1.2954,0.85523,0.000579424,0.000579424,0.000579424
14,87.9704,0.76266,6.58732,0.75087,1.22553,0.89598,0.97705,1,0.995,0.85707,0,0,0,0,0.66876,7.25594,0.70553,1.2954,0.85523,0.000608932,0.000608932,0.000608932
15,94.2343,0.74721,7.08123,0.83142,2.08097,0.93812,0.97705,1,0.995,0.85707,0,0,0,0,0.66876,7.25594,0.70553,1.2954,0.85523,0.000636064,0.000636064,0.000636064
16,100.649,0.77887,6.51509,0.80337,1.2626,0.83293,0.97705,1,0.995,0.85707,0,0,0,0,0.66876,7.25594,0.70553,1.2954,0.85523,0.00066082,0.00066082,0.00066082
17,106.903,0.65496,6.60184,0.75547,1.16744,0.91745,0.97705,1,0.995,0.85707,0,0,0,0,0.66876,7.25594,0.70553,1.2954,0.85523,0.0006832,0.0006832,0.0006832
18,113.146,0.97175,6.83245,0.77232,1.62041,1.10156,0.9912,1,0.995,0.8955,0,0,0,0,0.53005,6.828,0.69445,0.74519,0.84487,0.000703204,0.000703204,0.000703204
19,119.317,0.73668,6.58555,0.78529,1.02785,0.88195,0.9912,1,0.995,0.8955,0,0,0,0,0.53005,6.828,0.69445,0.74519,0.84487,0.000720832,0.000720832,0.000720832
20,125.553,0.65667,6.16865,0.70528,0.76523,0.83855,0.9912,1,0.995,0.8955,0,0,0,0,0.53005,6.828,0.69445,0.74519,0.84487,0.000736084,0.000736084,0.000736084
21,131.679,0.69706,6.43043,0.70346,0.6889,0.86015,0.9912,1,0.995,0.8955,0,0,0,0,0.53005,6.828,0.69445,0.74519,0.84487,0.00074896,0.00074896,0.00074896
22,137.811,1.12867,6.79018,0.64182,1.04127,1.24231,0.9912,1,0.995,0.8955,0,0,0,0,0.53005,6.828,0.69445,0.74519,0.84487,0.00075946,0.00075946,0.00075946
