epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48581,1.70695,20.012,0.73022,9.46133,2.09658,0,0,0,0,0,0,0,0,1.26097,19.8682,0.67883,5.98919,1.8141,4e-05,4e-05,4e-05
2,12.9107,1.54449,20.4271,0.71659,9.23211,1.86111,0,0,0,0,0,0,0,0,1.17064,19.9353,0.67842,5.80478,1.82151,9.868e-05,9.868e-05,9.868e-05
3,18.8702,1.8183,19.5576,0.74053,5.36652,2.12829,0,0,0,0,0,0,0,0,0.91151,19.8487,0.67897,5.18406,1.63401,0.000155776,0.000155776,0.000155776
4,25.5962,1.12297,19.3164,0.72535,5.21379,1.55019,0.00698,0.83333,0.00975,0.00599,0,0,0,0,0.80064,19.7012,0.68253,3.92378,1.40404,0.000211288,0.000211288,0.000211288
5,32.2355,1.03302,18.7947,0.70095,4.01454,1.57145,0.00698,0.83333,0.00975,0.00599,0,0,0,0,0.80064,19.7012,0.68253,3.92378,1.40404,0.000265216,0.000265216,0.000265216
6,38.7973,0.51918,19.3832,0.74284,2.40689,1.06862,0.00333,1,0.09233,0.06084,0,0,0,0,0.7169,19.4601,0.69164,3.13583,1.30958,0.00031756,0.00031756,0.00031756
7,46.0269,0.65354,17.8163,0.74408,2.58455,1.09744,0.00333,1,0.09233,0.06084,0,0,0,0,0.7169,19.4601,0.69164,3.13583,1.30958,0.00036832,0.00036832,0.00036832
8,52.2146,0.60825,16.2099,0.77856,2.43771,1.13558,0.00333,1,0.09233,0.06084,0,0,0,0,0.7169,19.4601,0.69164,3.13583,1.30958,0.000417496,0.000417496,0.000417496
9,58.6738,0.62788,17.3153,0.77578,2.45223,1.01195,1,0.47072,0.6059,0.42554,0,0,0,0,0.58474,19.0666,0.69728,3.5806,1.15812,0.000465088,0.000465088,0.000465088
10,64.7051,0.72323,15.6441,0.77705,2.58753,1.06489,1,0.47072,0.6059,0.42554,0,0,0,0,0.58474,19.0666,0.69728,3.5806,1.15812,0.000511096,0.000511096,0.000511096
